nInp,g,gin,gb,Delay,N_AL,DNI,MeanANC1,StdANC1,MeanANC2,StdANC2,MeanANC3,StdANC3,MeanANC4,StdANC4,MeanANC5,StdANC5,MeanANC6,StdANC6,MeanANC7,StdANC7,MeanA,StdA,SuccA,MeanASD1,StdASD1,SuccASD1,MeanASD2,StdASD2,SuccASD2,MeanASD3,StdASD3,SuccASD3,MeanASD4,StdASD4,SuccASD4,MeanASD5,StdASD5,SuccASD5,MeanASD6,StdASD6,SuccASD6,MaxOutSD1,StdMO1,MaxOutSD2,StdMO2,MaxOutSD3,StdMO3,MaxOutSD4,StdMO4,MaxOutSD5,StdMO5,MaxOutSD6,StdMO6,ReactTimesSD1,StdRT1,ReactTimesSD2,StdRT2,ReactTimesSD3,StdRT3,ReactTimesSD4,StdRT4,ReactTimesSD5,StdRT5,ReactTimesSD6,StdRT6,NeuroPercSD1,StdNP1,NeuroPercSD2,StdNP2,NeuroPercSD3,StdNP3,NeuroPercSD4,StdNP4,NeuroPercSD5,StdNP5,NeuroPercSD6,StdNP6,Wrs1,StdW1,Wrs2,StdW2,Wrs3,StdW3,Wrs4,StdW4,Wrs5,StdW5,Wrs6,StdW6,Wrs7,StdW7,WrsC1,StdWC1,WrsC2,StdWC2,WrsC3,StdWC3,WrsC4,StdWC4,WrsC5,StdWC5,WrsC6,StdWC6,WrsC7,StdWC7,PercError,StdPE,EVPC1,StdEV1,MBA,StdMBA,MBRt,StdMBRt,MBANC,StdMBANC,MBCorr,StdMBCorr,MBAll,StdMBAll
7,0.05,0.01,0,0.001,10,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1.00505,0.000726204,2.01137,0.00143435,3.01771,0.00213994,4.02363,0.00287022,5.02842,0.00361289,6.0298,0.0048582,0.0150218,0.000173301,0.0106823,0.000130274,0.009025,3.48693E-18,0.00803333,1.74346E-18,0.007,2.61519E-18,0.007,2.61519E-18,0.154297,0.015086,0.257218,0.0200334,0.376651,0.028315,0.499825,0.0319012,0.637897,0.0348553,0.99393,0.0062373,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.04411E-09,6.23511E-25,1.04411E-09,6.23511E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.09049E-143,6.86271E-159,5.30764E-144,1.14379E-159,2.87096E-141,1.75685E-156,2.87096E-141,1.75685E-156,1.56479E-143,0,1.09049E-143,6.86271E-159,1.09049E-143,6.86271E-159,0.0178102,0.00426529,24.4463,1.75586,0,0,1,0,0,0,1,0,0,0
7,0.05,0.01,0.00333333,0.001,10,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1.00752,0.00304851,2.01237,0.00558272,3.01725,0.00817111,4.02257,0.0108914,5.02879,0.0139862,6.03753,0.0179627,0.0122818,0.000601127,0.0088515,0.000483646,0.00738813,0.000458734,0.00660183,0.000480296,0.006043,0.000287625,0.0055205,0.000483364,0.243548,0.0216082,0.40386,0.0307451,0.530306,0.0320922,0.640908,0.0333253,0.747984,0.031974,0.947653,0.0145341,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.04411E-09,6.23511E-25,1.04411E-09,6.23511E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.09049E-143,6.86271E-159,5.30764E-144,1.14379E-159,2.87096E-141,1.75685E-156,2.87096E-141,1.75685E-156,1.56479E-143,0,1.09049E-143,6.86271E-159,1.09049E-143,6.86271E-159,0.0109429,0.00421942,45.7799,4.95711,0,0,1,0,0,0,1,0,0,0
7,0.05,0.01,0.005,0.001,10,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1.01432,0.00567823,2.0256,0.0109346,3.03682,0.0162569,4.04846,0.021655,5.06108,0.0273245,6.07697,0.0336505,0.0124746,0.000703265,0.0090345,0.000497223,0.00757263,0.000516018,0.00675817,0.000501806,0.00614075,0.000394896,0.005688,0.000488252,0.308129,0.0254432,0.485421,0.0330484,0.606778,0.033695,0.704724,0.0335284,0.795862,0.0303763,0.950557,0.0135553,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.04411E-09,6.23511E-25,1.04411E-09,6.23511E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.09049E-143,6.86271E-159,5.30764E-144,1.14379E-159,2.87096E-141,1.75685E-156,2.87096E-141,1.75685E-156,1.56479E-143,0,1.09049E-143,6.86271E-159,1.09049E-143,6.86271E-159,0.0117271,0.00472448,61.5327,4.82209,0,0,1,0,0,0,1,0,0,0
7,0.05,0.01,0.00666667,0.001,10,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1.02299,0.00825594,2.04271,0.0161461,3.0622,0.0240813,4.08189,0.0320244,5.10231,0.0402065,6.12598,0.0487594,0.0129114,0.000831292,0.0092836,0.00057108,0.0079245,0.00053102,0.00705183,0.000485248,0.0062945,0.000461382,0.0059405,0.000424305,0.366276,0.028676,0.550065,0.0331515,0.664308,0.034091,0.751323,0.0328616,0.829188,0.026622,0.953303,0.0116206,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.04411E-09,6.23511E-25,1.04411E-09,6.23511E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.09049E-143,6.86271E-159,5.30764E-144,1.14379E-159,2.87096E-141,1.75685E-156,2.87096E-141,1.75685E-156,1.56479E-143,0,1.09049E-143,6.86271E-159,1.09049E-143,6.86271E-159,0.013082,0.00536663,72.597,4.07864,0,0,1,0,0,0,1,0,0,0
7,0.05,0.01,0.01,0.001,10,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1.04032,0.0125183,2.07686,0.0247282,3.11259,0.0368677,4.14752,0.0489392,5.18161,0.0615128,6.21787,0.0743199,0.0142058,0.00119852,0.0102202,0.000750127,0.0085825,0.000677269,0.00763633,0.000644638,0.007033,0.000549114,0.006433,0.000573542,0.459919,0.0318538,0.641263,0.0333555,0.741589,0.0314825,0.8115,0.0296822,0.869004,0.0246654,0.956964,0.0109764,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.04411E-09,6.23511E-25,1.04411E-09,6.23511E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.09049E-143,6.86271E-159,5.30764E-144,1.14379E-159,2.87096E-141,1.75685E-156,2.87096E-141,1.75685E-156,1.56479E-143,0,1.09049E-143,6.86271E-159,1.09049E-143,6.86271E-159,0.0165077,0.00701067,84.8358,2.64965,0,0,1,0,0,0,0.99,0.1,0,0
7,0.05,0.01,0.0149993,0.001,10,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1.05451,0.0200627,2.10389,0.039934,3.15052,0.059928,4.19322,0.0808349,5.23059,0.105272,6.26658,0.133098,0.0168008,0.00212366,0.0117571,0.00123551,0.00992513,0.000999949,0.00884667,0.000898424,0.00816525,0.000830859,0.007475,0.000790745,0.557626,0.032618,0.723885,0.0313143,0.806367,0.026157,0.85969,0.0231138,0.901627,0.0215984,0.961363,0.0104207,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.04411E-09,6.23511E-25,1.04411E-09,6.23511E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.09049E-143,6.86271E-159,5.30764E-144,1.14379E-159,2.87096E-141,1.75685E-156,2.87096E-141,1.75685E-156,1.56479E-143,0,1.09049E-143,6.86271E-159,1.09049E-143,6.86271E-159,0.0227135,0.0104946,92.2485,1.46751,0,0,0.98,0.140705,0,0,0.98,0.140705,0,0
7,0.05,0.01,0.02,0.001,10,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1.04852,0.0371773,2.08959,0.0745035,3.12441,0.113085,4.15062,0.155483,5.16568,0.206665,6.17546,0.269104,0.0199522,0.00344502,0.0136636,0.00193043,0.0114535,0.00148688,0.0101865,0.00128696,0.0093125,0.00113772,0.0086135,0.0010711,0.621744,0.0332962,0.772631,0.0294175,0.842351,0.0232553,0.886183,0.0205503,0.92011,0.0187003,0.965189,0.0104805,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.04411E-09,6.23511E-25,1.04411E-09,6.23511E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.09049E-143,6.86271E-159,5.30764E-144,1.14379E-159,2.87096E-141,1.75685E-156,2.87096E-141,1.75685E-156,1.56479E-143,0,1.09049E-143,6.86271E-159,1.09049E-143,6.86271E-159,0.0302804,0.0159021,95.1942,0.969699,0,0,0.94,0.238683,0,0,0.98,0.140705,0,0
7,0.05,0.01,0.030003,0.001,10,0,0.999167,0.00833333,1,0,1,0,1,0,0.9975,0.025,0.9975,0.025,1,0,0.999583,0.00309308,1,0.9975,0.0185585,0.99,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0.972405,0.146158,1.93017,0.293668,2.87249,0.445599,3.79873,0.604035,4.70873,0.781898,5.62458,0.995561,0.0266131,0.0060811,0.0174104,0.00333533,0.0142234,0.0025955,0.0125893,0.0021333,0.011388,0.00213264,0.0105545,0.00191665,0.684368,0.0690082,0.81342,0.0645855,0.870365,0.0541922,0.905089,0.0463491,0.93283,0.0343285,0.967729,0.018001,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,1.04411E-09,6.23511E-25,1.04411E-09,6.23511E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,7.59768E-10,1.03918E-25,2.34257E-14,1.92184E-13,2.34257E-14,1.92184E-13,2.09335E-54,2.09335E-53,2.09335E-54,2.09335E-53,1.1436E-12,1.1436E-11,2.67834E-24,2.67834E-23,1.1436E-12,1.1436E-11,0.0571525,0.0688095,96.4901,6.21144,0,0,0.94,0.238683,0,0,0.97,0.171447,0,0
7,0.05,0.01,0.04,0.001,10,0,0.965583,0.12685,0.9635,0.152066,0.957375,0.160679,0.962,0.143833,0.962,0.143833,0.962125,0.152706,0.963333,0.152863,0.962176,0.148349,0.93,0.966583,0.122632,0.93,0.9636,0.142797,0.93,0.961375,0.147315,0.93,0.9615,0.152305,0.93,0.96,0.169372,0.94,0.96,0.169372,0.94,2.5171,8.07993,3.32568,7.93063,4.11613,7.7836,4.90712,7.77929,5.67454,7.73237,6.44361,7.5129,0.030551,0.0105549,0.0199159,0.00634463,0.0159603,0.00513269,0.0139782,0.00431851,0.0125775,0.00403744,0.0116125,0.00368606,0.715673,0.105127,0.828655,0.0909535,0.882618,0.0695121,0.909336,0.0681549,0.933543,0.0531269,0.967285,0.0217843,7.97329E-10,2.64255E-10,9.11585E-10,9.48115E-10,1.14889E-09,5.15915E-10,1.17509E-09,5.73798E-10,1.04651E-09,1.2335E-09,7.78548E-10,1.87807E-10,7.97329E-10,2.64255E-10,0.000339546,0.00337142,3.21443E-06,2.51961E-05,0.00200457,0.0200457,0.000265352,0.00265352,0.000155769,0.00155189,0.0022195,0.0221892,0.00241246,0.0241246,0.102735,0.156286,96.7046,8.4715,0,0,0.9,0.301511,0,0,0.93,0.256432,0,0
