nInp,g,rGGin,rGinGb,Delay,N_AL,DNI,SNI,TH,N,MeanANC1,StdANC1,MeanANC2,StdANC2,MeanANC3,StdANC3,MeanANC4,StdANC4,MeanANC5,StdANC5,MeanANC6,StdANC6,MeanANC7,StdANC7,MeanA,StdA,SuccA,MeanASD1,StdASD1,SuccASD1,MeanASD2,StdASD2,SuccASD2,MeanASD3,StdASD3,SuccASD3,MeanASD4,StdASD4,SuccASD4,MeanASD5,StdASD5,SuccASD5,MeanASD6,StdASD6,SuccASD6,MaxOutSD1,StdMO1,MaxOutSD2,StdMO2,MaxOutSD3,StdMO3,MaxOutSD4,StdMO4,MaxOutSD5,StdMO5,MaxOutSD6,StdMO6,ReactTimesSD1,StdRT1,ReactTimesSD2,StdRT2,ReactTimesSD3,StdRT3,ReactTimesSD4,StdRT4,ReactTimesSD5,StdRT5,ReactTimesSD6,StdRT6,NeuroPercSD1,StdNP1,NeuroPercSD2,StdNP2,NeuroPercSD3,StdNP3,NeuroPercSD4,StdNP4,NeuroPercSD5,StdNP5,NeuroPercSD6,StdNP6,Wrs1,StdW1,Wrs2,StdW2,Wrs3,StdW3,Wrs4,StdW4,Wrs5,StdW5,Wrs6,StdW6,Wrs7,StdW7,WrsC1,StdWC1,WrsC2,StdWC2,WrsC3,StdWC3,WrsC4,StdWC4,WrsC5,StdWC5,WrsC6,StdWC6,WrsC7,StdWC7,PercError,StdPE,EVPC1,StdEV1,MBA,StdMBA,MBRt,StdMBRt,MBANC,StdMBANC,MBCorr,StdMBCorr,MBAll,StdMBAll,PercAnsw,StdPA
7,0.05,0.01,0,0.01,20,1.05,0.35,0.5,100,0.660332,0.0642332,0.552985,0.0722973,0.537508,0.0572896,0.536688,0.0579898,0.541169,0.056314,0.559387,0.0771641,0.679199,0.0633212,0.641182,0.0444529,0,0.553752,0.0335567,0,0.578645,0.0481478,0,0.607738,0.050449,0,0.643684,0.0681283,0,0.697269,0.0781271,0.0208333,0.766003,0.0817236,0.0416667,1.46299,0.157869,1.48147,0.183912,1.50537,0.175813,1.50934,0.173326,1.5795,0.166182,1.68772,0.214621,0.261202,0.0243349,0.257656,0.0243655,0.256736,0.0229257,0.259821,0.0244525,0.254195,0.0260758,0.244006,0.0360776,0.0902627,0.0122674,0.0976037,0.013164,0.10615,0.0168496,0.136242,0.0327751,0.181488,0.0459566,0.298699,0.0625026,0.216714,0.169746,0.374954,0.145657,0.394734,0.134934,0.376623,0.137219,0.386906,0.151484,0.328115,0.164342,0.232399,0.165727,0.0474944,0.0928913,0.0952625,0.101081,0.111732,0.110126,0.0911479,0.0996988,0.110419,0.106034,0.0771989,0.0998283,0.037829,0.0673727,0.348919,0.140144,12.8102,1.04316,0.125,0.334219,0.0208333,0.144338,0.708333,0.45934,0.354167,0.483321,0,0,0.859286,0.0234321
7,0.05,0.01,0,0.01,20,1.05,0.4,0.5,100,0.633751,0.0613207,0.536682,0.0685258,0.525964,0.0551784,0.527414,0.0547637,0.530282,0.0525746,0.543737,0.072275,0.652123,0.0582491,0.616065,0.041574,0,0.545221,0.0320744,0,0.562345,0.0453479,0,0.584535,0.0472271,0,0.617095,0.0649176,0,0.663734,0.076448,0.0208333,0.723459,0.0821894,0.0208333,1.47157,0.159882,1.48449,0.185927,1.50297,0.17828,1.49713,0.177038,1.54793,0.172726,1.62806,0.213192,0.257396,0.026282,0.25993,0.0243626,0.257784,0.0247708,0.257746,0.0239512,0.25235,0.0257883,0.246742,0.0299323,0.0884221,0.0113951,0.093775,0.0121737,0.0999435,0.0149327,0.123463,0.0290262,0.161794,0.0421294,0.266116,0.0627202,0.26256,0.184654,0.407162,0.148971,0.422565,0.136899,0.408465,0.144493,0.412499,0.158001,0.361998,0.168909,0.281685,0.173675,0.0573841,0.0776873,0.10278,0.109766,0.12488,0.10746,0.0932332,0.0856563,0.106351,0.097159,0.078344,0.102743,0.0446207,0.0669231,0.383655,0.158433,12.972,1.05167,0.0833333,0.27931,0.0208333,0.144338,0.645833,0.483321,0.229167,0.424744,0,0,0.856885,0.0249101
7,0.05,0.01,0,0.01,20,1.05,0.45,0.5,100,0.61235,0.0575933,0.523504,0.064747,0.519292,0.052387,0.51967,0.0532254,0.5221,0.0479113,0.532694,0.0690092,0.630605,0.0531317,0.596455,0.0372202,0,0.538984,0.0323717,0,0.548295,0.0427005,0,0.570276,0.0454155,0,0.595631,0.0625527,0,0.637017,0.0711342,0,0.688524,0.0810405,0.0208333,1.47468,0.161021,1.484,0.186831,1.49994,0.179325,1.48884,0.179642,1.52666,0.178721,1.58681,0.21566,0.255484,0.0258051,0.256437,0.0213278,0.25478,0.0202996,0.255219,0.021075,0.252272,0.0276465,0.248826,0.0311523,0.086665,0.0105989,0.0906795,0.0113706,0.095605,0.0134839,0.114285,0.0256873,0.14673,0.0381633,0.238823,0.0611994,0.303832,0.197324,0.429381,0.147339,0.443868,0.136886,0.432748,0.151243,0.429739,0.161893,0.384131,0.169318,0.323385,0.174308,0.0705227,0.0959035,0.10013,0.101432,0.122969,0.0922086,0.100928,0.0891757,0.112158,0.104487,0.0806018,0.0919251,0.0615859,0.0803445,0.414556,0.177795,13.1473,1.06101,0.0208333,0.144338,0,0,0.625,0.489246,0.208333,0.410414,0,0,0.852937,0.0239834
7,0.05,0.01,0,0.01,20,1.05,0.5,0.5,100,0.59546,0.0533342,0.516488,0.0619089,0.513464,0.049929,0.515736,0.0517198,0.517629,0.0460633,0.525367,0.0663967,0.613364,0.0495868,0.581677,0.0348255,0,0.534478,0.0311465,0,0.539081,0.042994,0,0.557868,0.0435036,0,0.580641,0.0603039,0,0.614686,0.0696942,0,0.663308,0.0807764,0,1.4742,0.161824,1.48071,0.186994,1.49606,0.179635,1.48177,0.181272,1.51177,0.183783,1.55628,0.219267,0.255217,0.0264309,0.255198,0.0223424,0.251667,0.0227565,0.254682,0.0226263,0.253738,0.0306203,0.251596,0.030236,0.084981,0.009889,0.0880862,0.010746,0.0923521,0.0124145,0.107588,0.0228765,0.135122,0.0345659,0.216265,0.0585836,0.338716,0.203715,0.445618,0.151042,0.458672,0.141006,0.450404,0.155375,0.441849,0.163509,0.404773,0.170396,0.365381,0.179044,0.0818177,0.100564,0.11134,0.104857,0.116641,0.0842798,0.105837,0.0866467,0.124488,0.11046,0.0935535,0.0944948,0.085723,0.096978,0.437979,0.174245,13.334,1.07106,0.0208333,0.144338,0,0,0.5625,0.501328,0.166667,0.376622,0,0,0.849345,0.0240074
7,0.05,0.01,0,0.01,20,1.05,0.55,0.5,100,0.582501,0.0508264,0.510208,0.0592227,0.509496,0.0489883,0.511266,0.0504175,0.512948,0.045605,0.517986,0.0643076,0.599825,0.0469684,0.570145,0.0326234,0,0.530039,0.0318617,0,0.53109,0.0416659,0,0.547889,0.0450244,0,0.567783,0.0600087,0,0.598713,0.0652475,0,0.645354,0.0804042,0,1.47132,0.162162,1.47571,0.186667,1.4913,0.179729,1.47512,0.182443,1.49974,0.187585,1.5325,0.222172,0.252479,0.0212568,0.252164,0.0217108,0.25017,0.0229671,0.254857,0.0238022,0.251916,0.0298373,0.251797,0.031339,0.0834111,0.00926911,0.0859166,0.0102368,0.0897986,0.0115506,0.102619,0.0205289,0.126308,0.0314562,0.197788,0.0553889,0.367323,0.204793,0.460504,0.155838,0.472017,0.147482,0.462809,0.15945,0.44986,0.166696,0.422548,0.170445,0.39642,0.176666,0.0920006,0.113728,0.124442,0.10957,0.114067,0.0911628,0.115964,0.0976451,0.123792,0.114139,0.114556,0.117231,0.100486,0.101806,0.458611,0.17201,13.5297,1.08173,0.0208333,0.144338,0,0,0.520833,0.504852,0.166667,0.376622,0,0,0.846151,0.0242381
7,0.05,0.01,0,0.01,20,1.05,0.6,0.5,100,0.573012,0.0485157,0.506264,0.057067,0.506869,0.0473788,0.508669,0.049514,0.511654,0.0434306,0.514968,0.0607468,0.588349,0.0429155,0.561307,0.0299477,0,0.527671,0.031404,0,0.526144,0.0398977,0,0.540799,0.0451583,0,0.558284,0.0598142,0,0.585395,0.0610484,0,0.62955,0.0758796,0,1.46682,0.162307,1.46949,0.186004,1.48568,0.179582,1.46859,0.183068,1.48938,0.190034,1.51328,0.224442,0.251522,0.0198888,0.251148,0.0203353,0.250182,0.0209439,0.255449,0.0236224,0.248875,0.0304038,0.250961,0.0363623,0.081957,0.00873373,0.0840849,0.00979455,0.0877217,0.0108923,0.0987932,0.0186078,0.119571,0.0286774,0.182739,0.0519113,0.391436,0.206769,0.473199,0.158955,0.478631,0.15596,0.473138,0.162457,0.454223,0.164793,0.439302,0.169843,0.422488,0.174962,0.102554,0.136675,0.132762,0.116685,0.119094,0.107684,0.122912,0.11335,0.121181,0.118804,0.122343,0.123442,0.115866,0.12173,0.477005,0.171116,13.7323,1.09292,0.0208333,0.144338,0,0,0.479167,0.504852,0.145833,0.356674,0,0,0.842817,0.0244994
7,0.05,0.01,0,0.01,20,1.05,0.65,0.5,100,0.56528,0.0461975,0.504153,0.0558533,0.504847,0.0478929,0.509095,0.0492741,0.51043,0.0431247,0.513926,0.0583955,0.580103,0.0412896,0.554932,0.0288248,0,0.525848,0.0317887,0,0.5231,0.0401307,0,0.534529,0.0439051,0,0.552189,0.0603574,0,0.576838,0.0605667,0,0.61709,0.0768617,0,1.4612,0.162225,1.46249,0.185073,1.47952,0.179229,1.46174,0.183385,1.48,0.191421,1.49691,0.226362,0.250729,0.0197276,0.25013,0.0191046,0.250261,0.023166,0.256034,0.0239737,0.25118,0.0275134,0.248135,0.0347497,0.08061,0.00827367,0.0824649,0.00939024,0.0859946,0.0103566,0.0957723,0.0170475,0.114288,0.0263023,0.170448,0.0483915,0.413708,0.208006,0.483759,0.163455,0.484125,0.163424,0.480776,0.160931,0.45557,0.162768,0.453341,0.171499,0.441371,0.170002,0.101163,0.127364,0.145924,0.12713,0.127692,0.127533,0.124022,0.112836,0.110477,0.105013,0.125543,0.114845,0.117833,0.114002,0.493493,0.171199,13.9398,1.10452,0.0208333,0.144338,0,0,0.5,0.505291,0.0833333,0.27931,0,0,0.840476,0.0248739
7,0.05,0.01,0,0.01,20,1.05,0.7,0.5,100,0.558408,0.0440944,0.501366,0.0550449,0.502569,0.0486983,0.50906,0.0498213,0.508921,0.0422561,0.511527,0.0579031,0.57177,0.0405503,0.548422,0.0273954,0,0.52362,0.0317873,0,0.5211,0.039265,0,0.52914,0.0441983,0,0.545913,0.0594098,0,0.567226,0.056496,0,0.60353,0.076386,0,1.4548,0.161996,1.45494,0.183896,1.47289,0.178725,1.45454,0.183518,1.47116,0.192066,1.48255,0.227911,0.24848,0.0172303,0.250931,0.0200231,0.251769,0.0241184,0.252232,0.0221725,0.249406,0.0283292,0.247977,0.0358233,0.0793567,0.00787988,0.0810056,0.00902716,0.0845076,0.00989971,0.0933153,0.0157744,0.110083,0.0242732,0.160416,0.0450226,0.427632,0.202286,0.493347,0.168112,0.487905,0.164807,0.48665,0.160727,0.457847,0.159554,0.46582,0.171419,0.453994,0.165456,0.0980912,0.127756,0.151881,0.130364,0.126003,0.127399,0.124235,0.110514,0.102764,0.0913224,0.13399,0.115444,0.120312,0.115609,0.508054,0.171744,14.1504,1.11645,0.0208333,0.144338,0,0,0.479167,0.504852,0.104167,0.308709,0,0,0.837401,0.0254512
7,0.05,0.01,0,0.01,20,1.05,0.75,0.5,100,0.552277,0.0434528,0.49926,0.0535248,0.500924,0.0473034,0.508459,0.0483747,0.508344,0.041863,0.509153,0.0548971,0.565576,0.0395559,0.543449,0.0262756,0,0.522315,0.0317559,0,0.518238,0.0390315,0,0.524715,0.0439312,0,0.540522,0.0591608,0,0.560576,0.0550036,0,0.594327,0.0765946,0,1.44783,0.161564,1.44706,0.182578,1.46584,0.178013,1.44706,0.183373,1.46258,0.192462,1.46924,0.229038,0.24924,0.016411,0.25035,0.0207414,0.25038,0.0237087,0.252146,0.0257508,0.249772,0.0291759,0.250919,0.0371891,0.0781766,0.00753421,0.0796736,0.00869892,0.0831879,0.00952631,0.0912479,0.0147146,0.106693,0.0225312,0.152202,0.0417777,0.43759,0.197475,0.498748,0.167622,0.491393,0.165867,0.49296,0.161076,0.460919,0.157972,0.476676,0.171296,0.46425,0.162152,0.096153,0.126932,0.144827,0.124568,0.121414,0.120204,0.123373,0.105605,0.101416,0.0865139,0.136282,0.117137,0.116296,0.108851,0.52089,0.172256,14.3624,1.1286,0,0,0,0,0.395833,0.494204,0.0833333,0.27931,0,0,0.834802,0.0254392
7,0.05,0.01,0,0.01,20,1.05,0.8,0.5,100,0.546726,0.0414316,0.49812,0.051487,0.500436,0.046195,0.508283,0.0478448,0.507234,0.0409926,0.508184,0.0531664,0.55985,0.0389409,0.539172,0.025928,0,0.520141,0.0317608,0,0.515968,0.0385288,0,0.521882,0.044492,0,0.535862,0.0580507,0,0.554928,0.0531232,0,0.586252,0.0745727,0,1.44049,0.160997,1.43896,0.181079,1.45858,0.177111,1.43946,0.182929,1.45416,0.192502,1.45684,0.22976,0.249118,0.0163933,0.251525,0.0222843,0.24885,0.0219237,0.251196,0.0254574,0.247119,0.0298277,0.248516,0.033523,0.0770641,0.00722561,0.0784505,0.00839078,0.081995,0.00920852,0.0894583,0.0138396,0.103877,0.0210557,0.145355,0.038818,0.444997,0.192396,0.501384,0.16742,0.493537,0.167367,0.496255,0.162083,0.464611,0.15513,0.48474,0.170845,0.469393,0.159525,0.0968586,0.122641,0.138653,0.120224,0.120783,0.115464,0.123755,0.102666,0.104017,0.0868831,0.138279,0.119473,0.11382,0.104793,0.532213,0.171367,14.5742,1.1409,0,0,0,0,0.4375,0.501328,0.0833333,0.27931,0,0,0.831766,0.0254396
